total_homeless,total_population,house_price_index_2009,log_median_rent,utility_costs,percentage_owners_cost_burden_2016,percentage_renters_severe_cost_burden_2016,share_renters_2016,rental_vacancy_rate,high_housing_density,number_eviction,share_overcrowded_units_2016,city_or_urban,suburban,rate_unemployment,gini_coefficient_2016,poverty_rate,share_HUD_units,HUD_unit_occupancy_rate,share_built_before_1940,net_migration,migration_4_year_change,proportion_one_person_households,share_under_18_with_single_parent,share_veteran_status,share_no_bachelors,medicare_reimbursements_per_enrollee,percentage_excessive_drinking,average_Jan_temperature,average_summer_temperature,total_Jan_precipitation,total_annual_precipitation,rate_homeless,percent_black,percent_latino_hispanic,percent_asian,percent_pacific_inslander,percent_population_0_19,percent_population_65_plus,percent_female_population
1231.0,285194,0.0,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,6.51871490478516,42.0100021362305,7.40162801742554,3.59048366546631,98.0,,2397,,,,,,7.78885,,18.3999996185303,56.5999984741211,0.680000007152557,12.5600004196167,43.16360091727035,0.06085331388458383,0.08101152198152836,0.07042574528215881,0.010999530144392939,0.28701164821139297,0.07189492065050457,0.4887024271197851
1223.0,293370,0.0093593523328223,2.26695775985718,9.30000019073486,15.3343152999878,21.0148162841797,39.7279205322266,4.10821390151978,0,0,4.11740589141846,1,0,6.57535648345947,42.0100021362305,9.32303905487061,3.57411170005798,99.0,0.321797102689743,1978,,24.8328151702881,21.773509979248,17.2342300415039,66.9520568847656,7.85001,,18.7999992370605,55.7999992370605,0.519999980926514,15.5600004196167,41.68797082182909,0.05289566076967652,0.07623478883321402,0.08065241844769404,0.02003613184715547,0.2877935712581382,0.07291815795752804,0.4919316903568872
1147.0,296291,-0.0491365997472855,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.95197677612305,42.0100021362305,8.23818397521973,3.52347683906555,99.0,,-330,,,,,,7.90594,,2.90000009536743,55.9000015258789,1.16999995708466,16.4599990844727,38.711941975962816,0.05319095078824534,0.07849377807628312,0.08307035988268291,0.02052374186188578,0.2829009318541569,0.07572285354600714,0.49093627548592433
1122.0,298520,-0.255042351069307,2.26695775985718,9.30000019073486,15.3343152999878,21.0148162841797,39.7279205322266,4.10821390151978,0,0,4.11740589141846,1,0,5.3561053276062,42.0100021362305,8.7833309173584,3.4138765335083,98.0,0.321797102689743,-867,,24.8328151702881,21.773509979248,17.2342300415039,66.9520568847656,7.83198,,23.2999992370605,56.0,1.10000002384186,20.2700004577637,37.58542141230068,0.05386908749832507,0.08229599356827014,0.08530751708428246,0.021586493367278574,0.2785140024118987,0.08100964759480102,0.4906538925365135
1023.0,301081,3.1704806027423,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.19693660736084,42.0100021362305,7.55710220336914,3.90788125991821,99.0,,-535,,,,,,7.95718,,30.2999992370605,60.0999984741211,1.51999998092651,24.0100002288818,33.977567498447264,0.054201361095519145,0.08503027424513669,0.08743494275626824,0.022479000667594434,0.275663359693903,0.08466160269163447,0.48873891079144816
1208.0,300296,7.33071271468013,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.20816850662231,42.0100021362305,9.72607040405273,3.4183349609375,89.0,0.366994917392731,-4044,,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.26729,,20.5,58.0,0.349999994039536,18.3199996948242,40.22697605029704,0.05403668380531209,0.08752031329088633,0.08945507099661668,0.022787516317233664,0.2735900578096278,0.08923195780163572,0.4889009510616192
1105.0,298018,10.0917216528616,,,15.3343152999878,21.0148162841797,39.7279205322266,,0,0,4.11740589141846,1,0,5.04996490478516,42.0100021362305,8.49109840393066,3.34639024734497,97.0,,-5323,,,,,,8.39448,,27.2000007629395,60.2000007629395,0.280000001192093,19.0,37.07829728405667,0.05315115194384232,0.08889395942526962,0.09189042272614406,0.023505291626680268,0.2698226281633995,0.09441711574468656,0.489326148085015
1128.0,297376,11.7436473396041,2.43886280059814,8.5,15.3343152999878,21.0148162841797,39.7279205322266,4.81721210479736,0,0,4.11740589141846,1,0,5.55591201782227,42.0100021362305,7.09808444976807,3.45132637023926,99.0,0.366994917392731,-3389,-0.849201798439026,25.0464401245117,23.379077911377,14.5351257324219,65.634147644043,8.75152,0.193316832184792,13.8000001907349,60.7999992370605,1.71000003814697,16.5,37.93177660604756,0.05381066394060045,0.0899669105778543,0.0939517647691811,0.024386635101689445,0.26916092757989885,0.0991404820832885,0.48962929086409124
632.0,409496,0.0,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.50493335723877,40.6757011413574,9.97299098968506,2.05731606483459,96.3808288574219,,-1725,,,,,,8.70604160187157,,18.3999996185303,56.5999984741211,0.680000007152557,12.5600004196167,15.433606189071446,0.024019770644890304,0.05195166741555473,0.0332945865161076,0.0030110184226463752,0.2956610076777307,0.07979809326586829,0.4755943892003829
905.0,420645,-1.00434935531359,2.11652970314026,13.84889793396,13.3116703033447,19.3645610809326,33.922233581543,6.30626583099365,0,0,9.29489803314209,0,0,8.87895393371582,40.6757011413574,11.7666912078857,1.83113181591034,96.9256286621094,2.65547513961792,4111,,24.431116104126,20.3169708251953,15.8124465942383,76.4723358154297,9.00030236517729,,18.7999992370605,55.7999992370605,0.519999980926514,15.5600004196167,21.5145788016023,0.016163273068739673,0.04203069096268825,0.034501777032889966,0.0035659522875583923,0.2947473522804265,0.08123714771363026,0.4708269443354848
766.0,425968,-0.167281041086085,,,13.3116703033447,19.3645610809326,33.922233581543,,0,0,9.29489803314209,0,0,8.83814239501953,40.6757011413574,12.1164035797119,1.87719964981079,96.7598876953125,,772,,,,,,9.11423513139485,,2.90000009536743,55.9000015258789,1.16999995708466,16.4599990844727,17.982571460767005,0.016961367990083763,0.044285016714870604,0.035192784434511515,0.0038289261165157947,0.2923552942944071,0.08400865792735604,0.47173966119520716
824.0,432305,0.0553562435072479,2.11652970314026,13.84889793396,13.3116703033447,19.3645610809326,33.922233581543,6.30626583099365,0,0,9.29489803314209,0,0,8.47916698455811,40.6757011413574,11.8608388900757,2.0073766708374,98.1892242431641,2.65547513961792,2162,,24.431116104126,20.3169708251953,15.8124465942383,76.4723358154297,8.69494786794046,,23.2999992370605,56.0,1.10000002384186,20.2700004577637,19.06061692555025,0.01829495379419623,0.04776720139716173,0.03621748534021119,0.004163726998299811,0.2872809706110269,0.08868044551878881,0.4704063103595841
